Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead,mapped
Aemon,"Aemon Targaryen 202 AC Red Keep , King's Landing","302 AC (aged 100) Castle Black , the Gift",Targaryen (renounced),"['Order of Maesters', ""Night's Watch""]",Prince (formerly) Maester,Valyrian,{ Maekar I Targaryen },{ Dyanna Dayne },{ Daeron Targaryen } { Aerion Targaryen } { Aegon V Targaryen },Game of Thrones,1 · 3 · 4 · 5,11 episodes ( see below ),""" Lord Snow """,""" The Gift ""","""The Gift""",Peter Vaughan,,,,,,,,,,1,aemon
Anguy,"Dornish Marches , the Stormlands",,,['Brotherhood Without Banners'],,Marcher,,,,Game of Thrones,3,6 episodes ( see below ),""" Dark Wings, Dark Words """,""" The Bear and the Maiden Fair """,,Philip McGinley,,Lord of Light,,,,,,,,0,anguy
Lysa Arryn,"Lysa Tully Riverrun , the Riverlands","301 AC The Eyrie , the Vale of Arryn",Tully Arryn (by marriage) Baelish (by marriage),['Unknown'],,Rivermen,{ Hoster Tully },{ Minisa Whent },,Game of Thrones,1 · 4,5 episodes ( see below ),""" The Wolf and the Lion """,""" Mockingbird ""","""Mockingbird""",Kate Dickie,{ Jon Arryn } (1st husband) { Petyr Baelish } (2nd husband),Faith of the Seven,Robin Arryn,,,,,,,1,lysa arryn
Robin Arryn,"289 AC (age 16) Red Keep , King's Landing",,Arryn,['Royce'],Lord of the Eyrie Defender of the Vale Warden of the East,Valemen,{ Jon Arryn },{ Lysa Tully },,Game of Thrones,1 · 4 · 5 · 6 · 8,9 episodes ( see below ),""" The Wolf and the Lion """,""" The Iron Throne """,,Lino Facioli,,,,Sweetrobin,,,,,,0,robin arryn
Arthur,,,,"['Varys', 'Qyburn']",,,,,,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" The Winds of Winter """,,Nathanael Saleh,,,,,,,,,,0,arthur
Petyr Baelish,"The Fingers , the Vale of Arryn","304 AC Winterfell , the North",Baelish,"['Tully', 'Arryn', 'Baratheon', 'Stark']",Master of Coin (formerly) Lord of Harrenhal Lord Protector of the Vale,Valemen,{ Lord Baelish },,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7,41 episodes ( see below ),""" Lord Snow """,""" The Dragon and the Wolf ""","""The Dragon and the Wolf""",Aidan Gillen,{ Lysa Arryn },,,Littlefinger,"Yellow, a black mockingbird",,,,,1,petyr baelish
Gendry Baratheon,"Gendry Flea Bottom , King's Landing",,Baratheon ( legitimized ),"['Tobho Mott', 'Targaryen']",Lord of Storm's End Lord Paramount of the Stormlands Warden of the South,Crownlander,{ Robert I Baratheon },,,Game of Thrones,1 · 2 · 3 · 7 · 8,24 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Iron Throne """,,Joe Dempsie,,,,,,,,Arya Stark,,0,gendry
Joffrey Baratheon,"282 AC Red Keep , King's Landing","301 AC (aged 19) Red Keep, King's Landing",Baratheon of King's Landing Lannister,['Unknown'],King of the Andals and the First Men Lord of the Seven Kingdoms Protector of the Realm Lord of Storm's End Lord Paramount of the Stormlands,Crownlander,{ Jaime Lannister } (biological) { Robert I Baratheon } (legal),{ Cersei Lannister },,Game of Thrones,1 · 2 · 3 · 4,26 episodes ( see below ),""" Winter Is Coming """,""" Breaker of Chains "" (corpse)",""" The Lion and the Rose """,Jack Gleeson,{ Margaery Tyrell } (unconsummated),Faith of the Seven,,Joff,"Per pale gold and red, a black crowned stag and a gold lion combatant",,,,,1,joffrey baratheon
Myrcella Baratheon,"288 AC Red Keep , King's Landing","302 AC (aged 14) Narrow Sea , near Dorne",Baratheon of King's Landing,['Martell'],Princess,Crownlander,{ Jaime Lannister } (biological) { Robert I Baratheon } (legal),{ Cersei I Lannister },,Game of Thrones,1 · 2 · 5 · 6,15 episodes ( see below ),""" Winter Is Coming """,""" Home "" (corpse)",""" Mother's Mercy """,Aimee Richardson (Seasons 1-2) Nell Tiger Free (Seasons 5-6),,,,,,,,,,1,myrcella baratheon
Petyr Baratheon,"Dragonstone , the Crownlands","Dragonstone, the Crownlands",Baratheon of Dragonstone,['Unknown'],,,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3,""" Kissed by Fire "" (corpse)",,,,,,,,,,,,,,1,petyr
Renly Baratheon,"Storm's End , the Stormlands","299 AC Near Storm's End, the Stormlands",Baratheon,"['Baratheon', 'Small Council']",Lord of Storm's End Lord Paramount of the Stormlands Master of Laws (formerly) King of the Andals and the First Men (claimant) Lord of the Seven Kingdoms (claimant) Protector of the Realm (claimant),Stormlander,{ Steffon Baratheon },{ Cassana Estermont },,Game of Thrones,1 · 2,8 episodes ( see below ),""" Lord Snow """,""" The Ghost of Harrenhal ""","""The Ghost of Harrenhal""",Gethin Anthony,{ Margaery Tyrell } (unconsummated),,,King Renly I (self-styled) The King in Highgarden,"Green, a crowned gold stag's head contourny",,,{ Loras Tyrell },,1,renly baratheon
Robert Baratheon,"252 AC Storm's End , the Stormlands","298 AC (aged 46) Red Keep , King's Landing",Baratheon Baratheon of King's Landing,"['Arryn', 'Targaryen']",Lord of Storm's End (formerly) Lord Paramount of the Stormlands (formerly) King of the Andals and the First Men Lord of the Seven Kingdoms Protector of the Realm,Stormlander,{ Steffon Baratheon },{ Cassana Estermont },,Game of Thrones,1,7 episodes ( see below ),""" Winter Is Coming """,""" You Win or You Die ""","""You Win or You Die""",Mark Addy,{ Cersei Lannister },,"Bastards : Gendry Baratheon ( legitimized ) { Barra } 18 others With Cersei: { Son } Legal, fathered by Jaime Lannister : { Joffrey I Baratheon } { Myrcella Baratheon } { Tommen I Baratheon }",The Usurper The Stag King,,,,Numerous,,1,robert baratheon
Selyse Baratheon,"Selyse Florent Brightwater Keep , the Reach","302 AC Near Long Lake , the North",Florent Baratheon of Dragonstone (by marriage),['Unknown'],Queen Consort (claimant),Reach,,,Imry Florent { Axell Florent },Game of Thrones,2 · 3 · 4 · 5,11 episodes ( see below ),""" The North Remembers """,""" Mother's Mercy "" (corpse)","""Mother's Mercy""","Sarah MacKeever (Season 2, uncredited) Tara Fitzgerald (Season 3-5)",{ Stannis Baratheon },Lord of Light,{ Petyr Baratheon } (stillborn) { Tommard Baratheon } (stillborn) { Edric Baratheon } (stillborn) { Shireen Baratheon },,,,,,,1,selyse
Shireen Baratheon,"Dragonstone , the Crownlands","302 AC Near Long Lake , the North",Baratheon of Dragonstone,['Unknown'],Princess,Crownlander,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3 · 4 · 5,10 episodes ( see below ),""" Kissed by Fire """,""" The Dance of Dragons ""","""The Dance of Dragons""",Kerry Ingram,,Faith of the Seven,,,,,,,,1,shireen
Stannis Baratheon,"Storm's End , the Stormlands","302 AC Wolfswood near Winterfell , the North",Baratheon Baratheon of Dragonstone,"['Baratheon', 'Small Council']",Ser Master of Ships (formerly) Lord of Dragonstone King of the Andals and the First Men (claimant) Lord of the Seven Kingdoms (claimant) Protector of the Realm (claimant) Lord of Storm's End Lord Paramount of the Stormlands,Stormlander,{ Steffon Baratheon },{ Cassana Estermont },,Game of Thrones,2 · 3 · 4 · 5,24 episodes ( see below ),""" The North Remembers """,""" Mother's Mercy ""","""Mother's Mercy""",Stephen Dillane,{ Selyse Florent },Lord of Light,{ Petyr Baratheon } (stillborn) { Tommard Baratheon } (stillborn) { Edric Baratheon } (stillborn) { Shireen Baratheon },King Stannis I (self-styled) The King in the Narrow Sea Warrior of Light The Lord's Chosen Son of Fire The Prince That Was Promised,A crowned black stag's head contourny within a fiery red heart,,,{ Melisandre },,1,stannis
Tommard Baratheon,"Dragonstone , the Crownlands","Dragonstone, the Crownlands",Baratheon of Dragonstone,['Unknown'],,,{ Stannis Baratheon },{ Selyse Florent },,Game of Thrones,3,""" Kissed by Fire "" (corpse)",,,,,,,,,,,,,,1,tomard
Tommen Baratheon,289 AC,"Festival of the Mother , 303 AC (aged 14) Red Keep , King's Landing",Baratheon of King's Landing,['Unknown'],King of the Andals and the First Men Lord of the Seven Kingdoms Lord of Storm's End Lord Paramount of the Stormlands,Crownlander,{ Jaime Lannister } (biological) { Robert I Baratheon } (legal),{ Cersei Lannister },,Game of Thrones,1 · 2 · 4 · 5 · 6,24 episodes ( see below ),""" Winter Is Coming """,""" The Winds of Winter ""","""The Winds of Winter""",Callum Wharry (Seasons 1-2) Dean-Charles Chapman (Seasons 4-6),{ Margaery Tyrell },Faith of the Seven,,,,,,,,1,tommen
Bianca,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,2 episodes ( see below ),""" The Door """,""" Blood of My Blood """,,Eline Powell,,,,,,,,,,0,bianca
Black Lorren,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,4 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis """,,Forbes KB,,Drowned God,,,,,,,,1,black lorren
Bobono,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One """,,Leigh Gill,,,,,,,,,,0,bobono
Bolton officer,,303 AC in the Wolfswood Slain with Oathkeeper by Brienne of Tarth,,['Bolton'],,Northern,,,,Game of Thrones,6,""" The Red Woman """,,,"""The Red Woman""",Andrew Bryan,,,,,,,,,,1,bolton officer
Roose Bolton%27s son,"303 AC Winterfell , the North","303 AC (aged 0) Winterfell, the North",Bolton,['Unknown'],,Northern,{ Roose Bolton },{ Walda Frey },{ Ramsay Bolton } (paternal half-brother),Game of Thrones,6,""" Home """,,,"""Home""",Unidentified,,,,,,,,,,1,ramsay
Ramsay Bolton,"Ramsay Snow Near the Dreadfort , the North","303 AC Winterfell , the North",Bolton ( legitimized ),['Unknown'],Lord of the Dreadfort Lord of Winterfell Warden of the North,Northern,{ Roose Bolton },Miller's wife,,Game of Thrones,3 · 4 · 5 · 6,20 episodes ( see below ),""" Dark Wings, Dark Words """,""" Battle of the Bastards ""","""Battle of the Bastards""",Iwan Rheon,Sansa Stark,Old Gods,,,,,,{ Myranda } { Violet } { Tansy } { Kyra },,1,ramsay
Roose Bolton,"Dreadfort , the North","303 AC Winterfell , the North",Bolton,"['Stark', 'Baratheon']",Lord of the Dreadfort Warden of the North Lord of Winterfell,Northern,,,,Game of Thrones,2 · 3 · 4 · 5 · 6,20 episodes ( see below ),""" Garden of Bones """,""" Blood of My Blood "" (vision(s))",""" Home """,Michael McElhatton,{ Walda Frey },,{ Ramsay Bolton } ( legitimized bastard ) { Son } (by Walda),,,,,,,1,roose bolton
Walda Bolton,"Walda Frey The Twins , the Riverlands","303 AC Winterfell , the North",Frey Bolton (by marriage),['Unknown'],,Rivermen,,,,Game of Thrones,4 · 5 · 6,5 episodes ( see below ),""" The Lion and the Rose """,""" Home ""","""Home""",Elizabeth Webster,{ Roose Bolton },Faith of the Seven,{ Son },,,,,,,1,walda
Jonos Bracken,At Stone Hedge,,Bracken,['Tully'],,Rivermen,,,,Game of Thrones,1,""" Fire and Blood """,,,,Gerry O'Brien,,Faith of the Seven,,,,,,,,0,jonos bracken
Bronn,,,Unknown,"['Catelyn Stark', 'Lannister', 'City Watch', 'Small Council']",Commander of the City Watch of King's Landing (formerly) Ser Lord of Highgarden Lord Paramount of the Reach Master of Coin,Westerosi,,,Younger brother,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,36 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Iron Throne """,,Jerome Flynn,,,,Ser Bronn of the Blackwater Cooper,A flaming arrow bendwise,,,,,0,bronn
Camello,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,2 episodes ( see below ),""" The Door """,""" Blood of My Blood """,,Kevin Eldon,,,,,,,,,,0,camello
Jory Cassel,"Winterfell , the North","298 AC King's Landing , the Crownlands",Cassel,['Stark'],Captain of the guard,Northern,,,,Game of Thrones,1,5 episodes ( see below ),""" Winter Is Coming """,""" The Wolf and the Lion ""","""The Wolf and the Lion""",Jamie Sives,,,,,,,,,,1,jory cassel
Rodrik Cassel,"Winterfell , the North","299 AC Winterfell, the North",Cassel,['Stark'],Ser Master-at-arms at Winterfell Castellan of Winterfell,Northern,,,,Game of Thrones,1 · 2 · 6,15 episodes ( see below ),""" Winter Is Coming """,""" The Door "" (vision(s))",""" The Old Gods and the New """,Ron Donachie Fergus Leathem (young),,,,,,,,,,1,rodrik cassel
Clarenzo,,,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One """,,Rob Callender,,,,,,,,,,0,clarenzo
Sandor Clegane,,"305 AC Red Keep , King's Landing",Clegane,"['Baratheon', 'Kingsguard', 'Faith of the Seven', 'Brotherhood Without Banners']",,Westermen,{ Father },,,Game of Thrones,1 · 2 · 3 · 4 · 6 · 7 · 8,38 episodes ( see below ),""" Winter Is Coming """,""" The Bells ""","""The Bells""",Rory McCann,,,,Dog The Hound,,,,,,1,sandor clegane
Cohollo,,,,['Drogo'],Bloodrider,Dothraki,,,,Game of Thrones,1,4 episodes ( see below ),""" Winter Is Coming """,""" Baelor """,,Unidentified,,Great Stallion,,,,,,,,0,cohollo
Colen of Greenpools,At Greenpools,,,['Baratheon'],Ser,Andal,,,,Game of Thrones,2,""" What Is Dead May Never Die """,,,,Darren Killeen,,Faith of the Seven,,,,,,,,0,colen
Cooper,,"301 AC Castle Black , the Wall",,"[""Night's Watch""]",,,,,,Game of Thrones,4,""" The Watchers on the Wall """,,,"""The Watchers on the Wall""",Joe Claflin,,,,,,,,,,1,cooper
Lady Crane,,303 AC in Braavos Throat slit by the Waif,,['Izembaro'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One ""","""No One""",Essie Davis,,,,,,,,,,1,lady crane
Craster,Beyond the Wall,"300 AC Craster's Keep , beyond the Wall",,"[""Night's Watch""]",,Free Folk,,,,Game of Thrones,2 · 3,5 episodes ( see below ),""" The North Remembers """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Robert Pugh,All of his daughters,White Walkers,,,,,,,,1,craster
Craya,,,,['Unknown'],,,,,,Game of Thrones,8,""" Winterfell """,,,,Lucy Aarden,,,,,,,,,,0,crayah
Cressen,,"299 AC Dragonstone , Blackwater Bay , the Crownlands",,"['Order of Maesters', 'Baratheon', 'Baratheon']",Maester,Andal,,,,Game of Thrones,2,""" The North Remembers """,,,"""The North Remembers""",Oliver Ford Davies,,Faith of the Seven,,,,,,,,1,cressen
Dagmer,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,5 episodes ( see below ),""" The Ghost of Harrenhal """,""" Valar Morghulis """,,Ralph Ineson,,Drowned God,,,,,,,,1,dagmer
Daisy,At Haystack Hall,,,['Petyr Baelish'],,,,,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" Garden of Bones """,,Maisie Dee,,,,,,,,,,0,daisy
Dim Dalba,Beyond the Wall,,,"['Mance Rayder', 'Jon Snow']",,Free Folk,,,,Game of Thrones,5 · 6,2 episodes ( see below ),""" Hardhome """,""" The Broken Man """,,Murray McArthur,,Old Gods,,,,,,,,0,dim dalba
Xaro Xhoan Daxos,In the Summer Isles,299 AC in Qarth Locked inside his vault to die by Daenerys Targaryen,,['Thirteen'],King of Qarth (self-proclaimed; deposed),Summer Islander/Qartheen,,,,Game of Thrones,2,5 episodes ( see below ),""" Garden of Bones """,""" Valar Morghulis ""","""Valar Morghulis""",Nonso Anozie,{Wife},,,,,,,{ Doreah },,1,xaro
Dirah,,,,['Unknown'],,,,,,Game of Thrones,8,""" Winterfell """,,,,Marina Lawrence-Mahrra,,,,,,,,,,0,dirah
Beric Dondarrion,At Blackhaven,1-6: ( see below ) 7: 305 AC at Winterfell,Dondarrion,"['Baratheon', 'Brotherhood Without Banners']",Lord of Blackhaven,Marcher,,,,Game of Thrones,1 · 3 · 6 · 7 · 8,14 episodes ( see below ),""" A Golden Crown """,""" The Last of the Starks "" (corpse)",""" Kissed by Fire "" (resurrected) "" The Long Night """,David Michael Scott (Season 1) Richard Dormer (Seasons 3-8),,Faith of the Seven (raised) Lord of Light (convert),,,,,,,,1,beric dondarrion
Doreah,274 AC in Lys,299 AC (aged 25) in Qarth Locked inside a vault to die by Daenerys Targaryen,,"['Illyrio Mopatis', 'Targaryen', 'Xaro Xhoan Daxos']",,Lysene,,,,Game of Thrones,1 · 2,11 episodes ( see below ),""" The Kingsroad """,""" Valar Morghulis """,,Roxanne McKee,,,,,,,,{ Xaro Xhoan Daxos },,1,doreah
Drogo,,298 AC Lhazar,,['Unknown'],Khal,Dothraki,{ Bharbo },,,Game of Thrones,1 · 2,10 episodes ( see below ),""" Winter Is Coming """,""" Valar Morghulis "" (vision(s))",""" Fire and Blood """,Jason Momoa,{ Daenerys Targaryen },Great Stallion,{ Rhaego } (stillborn),The Great Khal,,,,,,1,drogo
Mirri Maz Duur,"Lhazar , Essos","298 AC The wastelands beyond Lhazar, Essos",,['Unknown'],Godswife,Lhazareen,,,,Game of Thrones,1,3 episodes ( see below ),""" The Pointy End """,""" Fire and Blood ""","""Fire and Blood""",Mia Soteriou,,Great Shepherd,,,,,,,,1,mirri maz duur
Dying man,,301 AC near the Mountains of the Moon Stabbed in heart by Sandor Clegane,,['Unknown'],,Valemen,,,,Game of Thrones,4,""" Mockingbird """,,,"""Mockingbird""",Barry McGovern,,,,,,,,,,1,dying man
Vardis Egen,The Vale of Arryn,"298 AC The Eyrie , the Vale of Arryn",Egen,['Arryn'],Ser Captain of the guard,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" The Wolf and the Lion """,""" A Golden Crown ""","""A Golden Crown""",Brendan McCormack,,Faith of the Seven,,,,,,,,1,vardis egen
Elder slave,,,,['Great Masters'],,,,,,Game of Thrones,4,""" Oathkeeper """,,,,Philip Philmar,,,,,,,,,,0,elder meereen slave
Razdal mo Eraz,"Yunkai , Slaver's Bay","303 AC Meereen , Slaver's Bay",Eraz,['Wise Masters'],Master of Men Speaker to Savages,Ghiscari ( Yunkai'i ),,,,Game of Thrones,3 · 6,3 episodes ( see below ),""" The Bear and the Maiden Fair """,""" Battle of the Bastards ""","""Battle of the Bastards""",George Georgiou,,Ghiscari religion,,,,,,,,1,razdal
Farlen,At Winterfell,299 AC at Winterfell Killed during the Sack of Winterfell,,['Stark'],Kennelmaster at Winterfell,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Peter Ballance,,Old Gods,,,,,,,,1,farlen
Farmer,"The Riverlands , Westeros","301 - 304 AC The Riverlands, Westeros",,['Tully'],,Rivermen,,,Brother,Game of Thrones,4 · 7,2 episodes ( see below ),""" Breaker of Chains """,""" Dragonstone "" (corpse)","""Dragonstone"" (fate confirmed)",Finbar Lynch,{Wife},Faith of the Seven,{ Sally },,,,,,,1,farmer hamlet
Fennesz,,,,['Great Masters'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Children """,,,,Trevor Allan Davies,,Ghiscari religion,,,,,,,,0,fennesz
Axell Florent,At Brightwater Keep,"301 AC Dragonstone , Blackwater Bay , the Crownlands",Florent,"['Tyrell', 'Baratheon']",Ser,Andal,,,{ Selyse Baratheon } Imry Florent,Game of Thrones,4,""" The Lion and the Rose """,,,"""The Lion and the Rose""",James McHale,,Faith of the Seven,,,,,,,,1,axell florent
Syrio Forel,In Braavos,298 AC in King's Landing,,"['Sealord of Braavos', 'Stark']",First Sword of Braavos (formerly),Braavosi,,,,Game of Thrones,1,3 episodes ( see below ),""" Lord Snow """,""" The Pointy End """,,Miltos Yerolemou,,Many-Faced God,,,,,,,,1,syrio forel
Frey guard,In the Riverlands,,,['Frey'],,Rivermen,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,A.J. Kennedy,,Faith of the Seven,,,,,,,,0,frey guard
Frey knight,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],Ser,Rivermen,,,,Game of Thrones,1,""" Cripples, Bastards, and Broken Things """,,,,Patrick Ryan,,Faith of the Seven,,,,,,,,1,frey man
Frey soldier 1,"The Riverlands , Westeros","300 AC The Riverlands, Westeros",,['Frey'],,Rivermen,,,,Game of Thrones,3,""" Mhysa """,,,"""Mhysa""",Ciaran O'Grady,,Faith of the Seven,,,,,,,,1,frey soldier
Frey soldier 2,"The Riverlands , Westeros","300 AC The Riverlands, Westeros",,['Frey'],,Rivermen,,,,Game of Thrones,3,""" Mhysa """,,,"""Mhysa""",Michael Liebmann,,Faith of the Seven,,,,,,,,1,frey soldier #2
Lothar Frey,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3 · 6,6 episodes ( see below ),""" The Climb """,""" The Winds of Winter ""","""The Winds of Winter"" (fate confirmed)",Tom Brooke (Season 3) Daniel Tuite (Season 6),,Faith of the Seven,,Lame Lothar,,,,,,1,lothar
Merry Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3 · 6 · 7,3 episodes ( see below ),""" The Rains of Castamere """,""" Dragonstone """,,Grace Hendy,,Faith of the Seven,,,,,,,,0,merry
Sarra Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,Serra Frey (twin),Game of Thrones,3,""" The Rains of Castamere """,,,,Unidentified,,Faith of the Seven,,,,,,,,0,sarra
Stevron Frey,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],Ser,Rivermen,{ Walder Frey },,{ Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,1,""" Baelor """,,,,Colin Carnegie,,Faith of the Seven,,,,,,,,1,stevron frey
Walda Frey (The Rains of Castamere),At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,,,Faith of the Seven,,,,,,,,0,walda
Walder Frey,"208 AC The Twins , the Riverlands","303 AC (aged 95) The Twins, the Riverlands",Frey,"['Tully', 'Baratheon']",Lord of the Crossing Lord of Riverrun Lord Paramount of the Trident,Rivermen,,,,Game of Thrones,1 · 3 · 6 · 7,6 episodes ( see below ),""" Baelor """,""" Dragonstone "" (corpse)",""" The Winds of Winter """,David Bradley,{7 wives} { Joyeuse Erenford } (8th wife) Kitty Frey (9th wife),,Trueborn: { Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Others Bastards : { Walder Rivers } { Ryger Rivers } Others,The Late Lord Frey,,,,,,1,walder frey
Gared,,298 AC in the Haunted Forest,,"[""Night's Watch""]",,Westerosi,,,,Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Dermot Keaney Richard Ridings ( pilot ),,,,,,,,,,1,gared
Gatins,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Ricky Champ,,Lord of Light,,,,,,,,1,gatins
Prendahl na Ghezn,,"300 AC Yunkai , Slaver's Bay",,['Second Sons'],Captain of the Second Sons,Ghiscari,,,,Game of Thrones,3,""" Second Sons """,,,"""Second Sons""",Ramon Tikaram,,,,,,,,,,1,prendahl
